Year,Screen,Evaluate,Incubate,Accelerate,Develop,Success,Total Budget,Total Headcount
2015,40,0,1,0,0,0,9.000000000000002,3
2016,40,21,1,0,0,0,30.0,9.93
2017,5,18,11,0,0,0,73.5,38.94
2018,5,3,23,0,0,0,118.5,69.99000000000001
2019,5,3,26,0,0,0,133.5,78.99000000000001
2020,5,0,18,6,0,0,150.5,84
2021,5,2,5,15,0,0,192.5,98.16
2022,5,2,4,16,0,0,238.75,120.785
2023,5,3,4,18,0,0,313.8125,158.14625
2024,5,3,5,12,1,0,244.90625,124.19312500000001
2025,5,2,5,4,3,0,88.28125,46.050625
2026,5,3,5,5,3,0,100.0625,51.77125
2027,5,2,6,4,3,0,83.125,43.9725
2028,5,2,6,5,3,0,105.78125,55.300625
2029,5,2,6,5,2,0,109.6875,57.25375
2030,5,3,6,5,0,2,101.15625,52.818125
